,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0050848,BP,GO:0050848,regulation of calcium-mediated signaling,1/352,61/14611,0.774778282,0.855747803,0.739464008,Erbb3,1,
GO:0051536,MF,GO:0051536,iron-sulfur cluster binding,1/352,61/14611,0.774778282,0.855747803,0.739464008,Ndufs8,1,
GO:0051540,MF,GO:0051540,metal cluster binding,1/352,61/14611,0.774778282,0.855747803,0.739464008,Ndufs8,1,
GO:0051893,BP,GO:0051893,regulation of focal adhesion assembly,1/352,61/14611,0.774778282,0.855747803,0.739464008,Pten,1,
GO:0071479,BP,GO:0071479,cellular response to ionizing radiation,1/352,61/14611,0.774778282,0.855747803,0.739464008,Ino80,1,
GO:0090109,BP,GO:0090109,regulation of cell-substrate junction assembly,1/352,61/14611,0.774778282,0.855747803,0.739464008,Pten,1,
GO:0097192,BP,GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,1/352,61/14611,0.774778282,0.855747803,0.739464008,Erbb3,1,
GO:0007599,BP,GO:0007599,hemostasis,2/352,117/14611,0.777024427,0.857810751,0.741246631,Ephb2/F2r,2,
GO:0010212,BP,GO:0010212,response to ionizing radiation,2/352,117/14611,0.777024427,0.857810751,0.741246631,Ercc6/Ino80,2,
GO:0000775,CC,GO:0000775,"chromosome, centromeric region",3/352,169/14611,0.777432562,0.858052394,0.741455438,Bod1l/Dctn3/Smc4,3,
GO:0001501,BP,GO:0001501,skeletal system development,8/352,411/14611,0.777886252,0.858344188,0.741707582,Ankrd11/Dlg1/Gnaq/Hapln2/Lgals3/Sp5/Trip11/Wnt7a,8,
GO:0072521,BP,GO:0072521,purine-containing compound metabolic process,6/352,317/14611,0.779562807,0.858628391,0.741953165,App/Atp5o/Bpgm/Nme1/Pkm/Slc4a4,6,
GO:0000139,CC,GO:0000139,Golgi membrane,4/352,220/14611,0.780218734,0.858628391,0.741953165,Cux1/Rab6a/Sptbn2/Tmed10,4,
GO:0001885,BP,GO:0001885,endothelial cell development,1/352,62/14611,0.780226945,0.858628391,0.741953165,Hapln2,1,
GO:0035064,MF,GO:0035064,methylated histone binding,1/352,62/14611,0.780226945,0.858628391,0.741953165,Bptf,1,
GO:0042562,MF,GO:0042562,hormone binding,1/352,62/14611,0.780226945,0.858628391,0.741953165,Pkm,1,
GO:0042632,BP,GO:0042632,cholesterol homeostasis,1/352,62/14611,0.780226945,0.858628391,0.741953165,Nfe2l1,1,
GO:0046683,BP,GO:0046683,response to organophosphorus,1/352,62/14611,0.780226945,0.858628391,0.741953165,Igfbp5,1,
GO:0050709,BP,GO:0050709,negative regulation of protein secretion,1/352,62/14611,0.780226945,0.858628391,0.741953165,F2r,1,
GO:0072078,BP,GO:0072078,nephron tubule morphogenesis,1/352,62/14611,0.780226945,0.858628391,0.741953165,Dlg1,1,
GO:0140034,MF,GO:0140034,methylation-dependent protein binding,1/352,62/14611,0.780226945,0.858628391,0.741953165,Bptf,1,
GO:1904888,BP,GO:1904888,cranial skeletal system development,1/352,62/14611,0.780226945,0.858628391,0.741953165,Gnaq,1,
GO:0010811,BP,GO:0010811,positive regulation of cell-substrate adhesion,2/352,118/14611,0.781043886,0.859110378,0.742369658,Edil3/Spock2,2,
GO:0050817,BP,GO:0050817,coagulation,2/352,118/14611,0.781043886,0.859110378,0.742369658,Ephb2/F2r,2,
GO:0003002,BP,GO:0003002,regionalization,5/352,270/14611,0.782847623,0.860511526,0.74358041,Bptf/C1qa/Ift57/Reln/Wnt7a,5,
GO:0061695,CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",4/352,221/14611,0.783195747,0.860511526,0.74358041,Ccnd3/Pkm/Psmc5/Tbpl1,4,
GO:0071496,BP,GO:0071496,cellular response to external stimulus,4/352,221/14611,0.783195747,0.860511526,0.74358041,Arhgap35/Ercc6/Got1/Ldha,4,
GO:0019867,CC,GO:0019867,outer membrane,3/352,171/14611,0.784169809,0.860511526,0.74358041,Nme1/Ntrk3/Wasf1,3,
GO:0031968,CC,GO:0031968,organelle outer membrane,3/352,171/14611,0.784169809,0.860511526,0.74358041,Nme1/Ntrk3/Wasf1,3,
GO:0045637,BP,GO:0045637,regulation of myeloid cell differentiation,3/352,171/14611,0.784169809,0.860511526,0.74358041,Nme1/Stat1/Tesc,3,
GO:1901136,BP,GO:1901136,carbohydrate derivative catabolic process,2/352,119/14611,0.784999801,0.860511526,0.74358041,Aldh1a1/Neu1,2,
GO:0001676,BP,GO:0001676,long-chain fatty acid metabolic process,1/352,63/14611,0.785544157,0.860511526,0.74358041,Myo5a,1,
GO:0003724,MF,GO:0003724,RNA helicase activity,1/352,63/14611,0.785544157,0.860511526,0.74358041,Ddx6,1,
GO:0006635,BP,GO:0006635,fatty acid beta-oxidation,1/352,63/14611,0.785544157,0.860511526,0.74358041,Echdc2,1,
GO:0032507,BP,GO:0032507,maintenance of protein location in cell,1/352,63/14611,0.785544157,0.860511526,0.74358041,Txn1,1,
GO:0035082,BP,GO:0035082,axoneme assembly,1/352,63/14611,0.785544157,0.860511526,0.74358041,Rsph1,1,
GO:0051865,BP,GO:0051865,protein autoubiquitination,1/352,63/14611,0.785544157,0.860511526,0.74358041,Trim37,1,
GO:0055092,BP,GO:0055092,sterol homeostasis,1/352,63/14611,0.785544157,0.860511526,0.74358041,Nfe2l1,1,
GO:0072088,BP,GO:0072088,nephron epithelium morphogenesis,1/352,63/14611,0.785544157,0.860511526,0.74358041,Dlg1,1,
GO:1902117,BP,GO:1902117,positive regulation of organelle assembly,1/352,63/14611,0.785544157,0.860511526,0.74358041,Arhgap35,1,
GO:2000117,BP,GO:2000117,negative regulation of cysteine-type endopeptidase activity,1/352,63/14611,0.785544157,0.860511526,0.74358041,Herpud1,1,
GO:0044242,BP,GO:0044242,cellular lipid catabolic process,3/352,172/14611,0.787474915,0.86241818,0.745227977,Abhd16a/Echdc2/Neu1,3,
GO:0007292,BP,GO:0007292,female gamete generation,2/352,120/14611,0.78889289,0.863605067,0.746253583,Grb14/Nrip1,2,
GO:0055086,BP,GO:0055086,nucleobase-containing small molecule metabolic process,8/352,416/14611,0.788939609,0.863605067,0.746253583,App/Atp5o/Bpgm/Nme1/Nmnat2/Pkm/Slc4a4/Tbpl1,8,
GO:0001503,BP,GO:0001503,ossification,6/352,321/14611,0.789507001,0.864017558,0.746610022,Gabbr1/Gdf10/Id4/Ifitm3/Igfbp5/Mtss1,6,
GO:0006970,BP,GO:0006970,response to osmotic stress,1/352,64/14611,0.79073308,0.864107926,0.746688111,Mlc1,1,
GO:0008186,MF,GO:0008186,"ATP-dependent activity, acting on RNA",1/352,64/14611,0.79073308,0.864107926,0.746688111,Ddx6,1,
GO:0035591,MF,GO:0035591,signaling adaptor activity,1/352,64/14611,0.79073308,0.864107926,0.746688111,Akap12,1,
GO:0042100,BP,GO:0042100,B cell proliferation,1/352,64/14611,0.79073308,0.864107926,0.746688111,Ephb2,1,
GO:0046888,BP,GO:0046888,negative regulation of hormone secretion,1/352,64/14611,0.79073308,0.864107926,0.746688111,Adora1,1,
GO:0140375,MF,GO:0140375,immune receptor activity,1/352,64/14611,0.79073308,0.864107926,0.746688111,Il20rb,1,
GO:0048232,BP,GO:0048232,male gamete generation,7/352,370/14611,0.792066122,0.865356096,0.747766673,Bsg/Dnaja1/Lamp1/Rgs2/Rsph1/Strbp/Tbpl1,7,
GO:0007093,BP,GO:0007093,mitotic cell cycle checkpoint signaling,2/352,121/14611,0.792723875,0.865866069,0.748207347,Gigyf2/Plk5,2,
GO:0010822,BP,GO:0010822,positive regulation of mitochondrion organization,1/352,65/14611,0.795796802,0.867759187,0.749843218,Atpif1,1,
GO:0015297,MF,GO:0015297,antiporter activity,1/352,65/14611,0.795796802,0.867759187,0.749843218,Slc4a8,1,
GO:0030512,BP,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,1/352,65/14611,0.795796802,0.867759187,0.749843218,Snx25,1,
GO:0032088,BP,GO:0032088,negative regulation of NF-kappaB transcription factor activity,1/352,65/14611,0.795796802,0.867759187,0.749843218,Trim37,1,
GO:0051145,BP,GO:0051145,smooth muscle cell differentiation,1/352,65/14611,0.795796802,0.867759187,0.749843218,Mecp2,1,
GO:0072028,BP,GO:0072028,nephron morphogenesis,1/352,65/14611,0.795796802,0.867759187,0.749843218,Dlg1,1,
GO:1901657,BP,GO:1901657,glycosyl compound metabolic process,1/352,65/14611,0.795796802,0.867759187,0.749843218,Akr1a1,1,
GO:0045598,BP,GO:0045598,regulation of fat cell differentiation,2/352,122/14611,0.796493478,0.868310034,0.750319213,Cds1/Id4,2,
GO:0070085,BP,GO:0070085,glycosylation,3/352,175/14611,0.797139811,0.868805746,0.750747565,Fut9/St6galnac3/Trip11,3,
GO:0010506,BP,GO:0010506,regulation of autophagy,4/352,226/14611,0.797603786,0.868893697,0.750823565,Mtcl1/Scoc/Smg1/Usp36,4,
GO:0034976,BP,GO:0034976,response to endoplasmic reticulum stress,4/352,226/14611,0.797603786,0.868893697,0.750823565,App/Herpud1/Nfe2l1/Tmbim6,4,
GO:0000779,CC,GO:0000779,"condensed chromosome, centromeric region",2/352,123/14611,0.800202423,0.870009012,0.751787324,Bod1l/Dctn3,2,
GO:0072073,BP,GO:0072073,kidney epithelium development,2/352,123/14611,0.800202423,0.870009012,0.751787324,Dlg1/Mtss1,2,
GO:1902850,BP,GO:1902850,microtubule cytoskeleton organization involved in mitosis,2/352,123/14611,0.800202423,0.870009012,0.751787324,Arhgef10/Mecp2,2,
GO:0019935,BP,GO:0019935,cyclic-nucleotide-mediated signaling,1/352,66/14611,0.800738334,0.870009012,0.751787324,Oprl1,1,
GO:0032418,BP,GO:0032418,lysosome localization,1/352,66/14611,0.800738334,0.870009012,0.751787324,Ywhaz,1,
GO:0032526,BP,GO:0032526,response to retinoic acid,1/352,66/14611,0.800738334,0.870009012,0.751787324,Tesc,1,
GO:0042475,BP,GO:0042475,odontogenesis of dentin-containing tooth,1/352,66/14611,0.800738334,0.870009012,0.751787324,Ankrd11,1,
GO:0046364,BP,GO:0046364,monosaccharide biosynthetic process,1/352,66/14611,0.800738334,0.870009012,0.751787324,Akr1a1,1,
GO:0060415,BP,GO:0060415,muscle tissue morphogenesis,1/352,66/14611,0.800738334,0.870009012,0.751787324,Ryr2,1,
GO:0150116,BP,GO:0150116,regulation of cell-substrate junction organization,1/352,66/14611,0.800738334,0.870009012,0.751787324,Pten,1,
GO:2000779,BP,GO:2000779,regulation of double-strand break repair,1/352,66/14611,0.800738334,0.870009012,0.751787324,Ercc6,1,
GO:0060271,BP,GO:0060271,cilium assembly,5/352,277/14611,0.801121715,0.870217024,0.75196707,Arhgap35/Dynll2/Ift57/Rilpl1/Rsph1,5,
GO:0060562,BP,GO:0060562,epithelial tube morphogenesis,6/352,326/14611,0.801453493,0.870368895,0.752098304,Arhgap35/Bsg/Dlg1/Ift57/Mtss1/Ryr2,6,
GO:0140014,BP,GO:0140014,mitotic nuclear division,4/352,228/14611,0.803147512,0.871073655,0.752707298,Arhgef10/Ino80/Nfe2l1/Smc4,4,
GO:0072593,BP,GO:0072593,reactive oxygen species metabolic process,3/352,177/14611,0.80337752,0.871073655,0.752707298,Adgrb1/App/Atpif1,3,
GO:0019216,BP,GO:0019216,regulation of lipid metabolic process,5/352,278/14611,0.803630967,0.871073655,0.752707298,Adora1/App/Appl2/Nfe2l1/Tbl1xr1,5,
GO:0032102,BP,GO:0032102,negative regulation of response to external stimulus,5/352,278/14611,0.803630967,0.871073655,0.752707298,Adora1/Il20rb/Nenf/Pten/Rtn4rl1,5,
GO:0001841,BP,GO:0001841,neural tube formation,2/352,124/14611,0.803851434,0.871073655,0.752707298,Arhgap35/Ift57,2,
GO:0042742,BP,GO:0042742,defense response to bacterium,2/352,124/14611,0.803851434,0.871073655,0.752707298,Adgrb1/App,2,
GO:2000377,BP,GO:2000377,regulation of reactive oxygen species metabolic process,2/352,124/14611,0.803851434,0.871073655,0.752707298,Adgrb1/App,2,
GO:0002260,BP,GO:0002260,lymphocyte homeostasis,1/352,67/14611,0.805560617,0.871073655,0.752707298,Ppp3cb,1,
GO:0002367,BP,GO:0002367,cytokine production involved in immune response,1/352,67/14611,0.805560617,0.871073655,0.752707298,Dlg1,1,
GO:0005546,MF,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",1/352,67/14611,0.805560617,0.871073655,0.752707298,Mark1,1,
GO:0005881,CC,GO:0005881,cytoplasmic microtubule,1/352,67/14611,0.805560617,0.871073655,0.752707298,Tuba1b,1,
GO:0015171,MF,GO:0015171,amino acid transmembrane transporter activity,1/352,67/14611,0.805560617,0.871073655,0.752707298,Slc17a7,1,
GO:0034754,BP,GO:0034754,cellular hormone metabolic process,1/352,67/14611,0.805560617,0.871073655,0.752707298,Aldh1a1,1,
GO:0045132,BP,GO:0045132,meiotic chromosome segregation,1/352,67/14611,0.805560617,0.871073655,0.752707298,Smc4,1,
GO:0045638,BP,GO:0045638,negative regulation of myeloid cell differentiation,1/352,67/14611,0.805560617,0.871073655,0.752707298,Nme1,1,
GO:0090559,BP,GO:0090559,regulation of membrane permeability,1/352,67/14611,0.805560617,0.871073655,0.752707298,Atpif1,1,
GO:1903363,BP,GO:1903363,negative regulation of cellular protein catabolic process,1/352,67/14611,0.805560617,0.871073655,0.752707298,Prkcg,1,
GO:1905515,BP,GO:1905515,non-motile cilium assembly,1/352,67/14611,0.805560617,0.871073655,0.752707298,Ift57,1,
GO:0072001,BP,GO:0072001,renal system development,5/352,279/14611,0.806115215,0.871465519,0.753045913,Cux1/Dlg1/Kirrel3/Mtss1/Stat1,5,
GO:0016571,BP,GO:0016571,histone methylation,2/352,125/14611,0.807441236,0.872690957,0.754104832,Mecp2/Pagr1a,2,
GO:0008017,MF,GO:0008017,microtubule binding,4/352,230/14611,0.808567927,0.873700425,0.754977127,Dst/Map1b/Mtcl1/Strbp,4,
GO:0002286,BP,GO:0002286,T cell activation involved in immune response,1/352,68/14611,0.81026652,0.874702001,0.755842604,Lgals3,1,
GO:0005788,CC,GO:0005788,endoplasmic reticulum lumen,1/352,68/14611,0.81026652,0.874702001,0.755842604,Wnt7a,1,
GO:0032465,BP,GO:0032465,regulation of cytokinesis,1/352,68/14611,0.81026652,0.874702001,0.755842604,Plk5,1,
GO:0045582,BP,GO:0045582,positive regulation of T cell differentiation,1/352,68/14611,0.81026652,0.874702001,0.755842604,Cd83,1,
GO:0035966,BP,GO:0035966,response to topologically incorrect protein,2/352,126/14611,0.810972555,0.874839297,0.755961243,Herpud1/Tmbim6,2,
GO:0045834,BP,GO:0045834,positive regulation of lipid metabolic process,2/352,126/14611,0.810972555,0.874839297,0.755961243,Adora1/App,2,
GO:0046434,BP,GO:0046434,organophosphate catabolic process,2/352,126/14611,0.810972555,0.874839297,0.755961243,Abhd16a/Pten,2,
GO:0006401,BP,GO:0006401,RNA catabolic process,4/352,231/14611,0.811232353,0.874911391,0.756023541,Gigyf2/Hnrnpa0/Smg1/Vim,4,
GO:0030246,MF,GO:0030246,carbohydrate binding,3/352,180/14611,0.812432181,0.87599703,0.756961657,Bsg/Cd302/Lgals3,3,
GO:0006310,BP,GO:0006310,DNA recombination,4/352,232/14611,0.813866509,0.876945171,0.75778096,Ap5s1/Ercc6/Ino80/Pagr1a,4,
GO:0090596,BP,GO:0090596,sensory organ morphogenesis,4/352,232/14611,0.813866509,0.876945171,0.75778096,Aldh1a1/Ephb2/Ntrk2/Slc4a7,4,
GO:0000422,BP,GO:0000422,autophagy of mitochondrion,1/352,69/14611,0.814858846,0.876945171,0.75778096,Atpif1,1,
GO:0002065,BP,GO:0002065,columnar/cuboidal epithelial cell differentiation,1/352,69/14611,0.814858846,0.876945171,0.75778096,Nfe2l1,1,
GO:0002275,BP,GO:0002275,myeloid cell activation involved in immune response,1/352,69/14611,0.814858846,0.876945171,0.75778096,Ywhaz,1,
GO:0031060,BP,GO:0031060,regulation of histone methylation,1/352,69/14611,0.814858846,0.876945171,0.75778096,Mecp2,1,
GO:0048644,BP,GO:0048644,muscle organ morphogenesis,1/352,69/14611,0.814858846,0.876945171,0.75778096,Ryr2,1,
GO:0061726,BP,GO:0061726,mitochondrion disassembly,1/352,69/14611,0.814858846,0.876945171,0.75778096,Atpif1,1,
GO:0031023,BP,GO:0031023,microtubule organizing center organization,2/352,128/14611,0.817862639,0.879968962,0.760393861,Arhgef10/Trim37,2,
GO:0000932,CC,GO:0000932,P-body,1/352,70/14611,0.819340326,0.880722863,0.761045318,Ddx6,1,
GO:0030168,BP,GO:0030168,platelet activation,1/352,70/14611,0.819340326,0.880722863,0.761045318,F2r,1,
GO:0051341,BP,GO:0051341,regulation of oxidoreductase activity,1/352,70/14611,0.819340326,0.880722863,0.761045318,Myo5a,1,
GO:0071229,BP,GO:0071229,cellular response to acid chemical,1/352,70/14611,0.819340326,0.880722863,0.761045318,Ntrk2,1,
GO:0030176,CC,GO:0030176,integral component of endoplasmic reticulum membrane,2/352,129/14611,0.82122285,0.882119025,0.762251761,Nfe2l1/Saraf,2,
GO:1902107,BP,GO:1902107,positive regulation of leukocyte differentiation,2/352,129/14611,0.82122285,0.882119025,0.762251761,Cd83/Tesc,2,
GO:1903708,BP,GO:1903708,positive regulation of hemopoiesis,2/352,129/14611,0.82122285,0.882119025,0.762251761,Cd83/Tesc,2,
GO:0031490,MF,GO:0031490,chromatin DNA binding,1/352,71/14611,0.823713629,0.883956827,0.763839833,Mecp2,1,
GO:0061157,BP,GO:0061157,mRNA destabilization,1/352,71/14611,0.823713629,0.883956827,0.763839833,Gigyf2,1,
GO:0062014,BP,GO:0062014,negative regulation of small molecule metabolic process,1/352,71/14611,0.823713629,0.883956827,0.763839833,Appl2,1,
GO:1901983,BP,GO:1901983,regulation of protein acetylation,1/352,71/14611,0.823713629,0.883956827,0.763839833,App,1,
GO:0001678,BP,GO:0001678,cellular glucose homeostasis,2/352,130/14611,0.82452747,0.883993272,0.763871325,Camk2n1/Ppp3cb,2,
GO:0001824,BP,GO:0001824,blastocyst development,2/352,130/14611,0.82452747,0.883993272,0.763871325,Matr3/Tbl1xr1,2,
GO:0016573,BP,GO:0016573,histone acetylation,2/352,130/14611,0.82452747,0.883993272,0.763871325,App/Mecp2,2,
GO:0042445,BP,GO:0042445,hormone metabolic process,2/352,130/14611,0.82452747,0.883993272,0.763871325,Aldh1a1/Reln,2,
GO:0007276,BP,GO:0007276,gamete generation,9/352,482/14611,0.825604238,0.884938443,0.764688061,Bsg/Dnaja1/Grb14/Lamp1/Nrip1/Rgs2/Rsph1/Strbp/Tbpl1,9,
GO:0006325,BP,GO:0006325,chromatin organization,7/352,386/14611,0.826036104,0.884975834,0.764720371,Banp/Bptf/Brd3/Ercc6/Ino80/Prkcb/Tbl1xr1,7,
GO:0051302,BP,GO:0051302,regulation of cell division,2/352,131/14611,0.827777215,0.884975834,0.764720371,Plk5/Zbtb18,2,
GO:0090316,BP,GO:0090316,positive regulation of intracellular protein transport,2/352,131/14611,0.827777215,0.884975834,0.764720371,Mtcl1/Oaz1,2,
GO:1900180,BP,GO:1900180,regulation of protein localization to nucleus,2/352,131/14611,0.827777215,0.884975834,0.764720371,App/Dclk1,2,
GO:0001656,BP,GO:0001656,metanephros development,1/352,72/14611,0.82798136,0.884975834,0.764720371,Mtss1,1,
GO:0009798,BP,GO:0009798,axis specification,1/352,72/14611,0.82798136,0.884975834,0.764720371,Wnt7a,1,
GO:0019003,MF,GO:0019003,GDP binding,1/352,72/14611,0.82798136,0.884975834,0.764720371,Diras2,1,
GO:0032592,CC,GO:0032592,integral component of mitochondrial membrane,1/352,72/14611,0.82798136,0.884975834,0.764720371,Coa3,1,
GO:0044773,BP,GO:0044773,mitotic DNA damage checkpoint signaling,1/352,72/14611,0.82798136,0.884975834,0.764720371,Gigyf2,1,
GO:0120254,BP,GO:0120254,olefinic compound metabolic process,1/352,72/14611,0.82798136,0.884975834,0.764720371,Aldh1a1,1,
GO:1904035,BP,GO:1904035,regulation of epithelial cell apoptotic process,1/352,72/14611,0.82798136,0.884975834,0.764720371,Trim32,1,
GO:1904589,BP,GO:1904589,regulation of protein import,1/352,72/14611,0.82798136,0.884975834,0.764720371,App,1,
GO:0016575,BP,GO:0016575,histone deacetylation,1/352,73/14611,0.832146059,0.888380088,0.767662036,Tbl1xr1,1,
GO:0016605,CC,GO:0016605,PML body,1/352,73/14611,0.832146059,0.888380088,0.767662036,Wdfy3,1,
GO:0035710,BP,GO:0035710,"CD4-positive, alpha-beta T cell activation",1/352,73/14611,0.832146059,0.888380088,0.767662036,Cd83,1,
GO:0046634,BP,GO:0046634,regulation of alpha-beta T cell activation,1/352,73/14611,0.832146059,0.888380088,0.767662036,Cd83,1,
GO:0048704,BP,GO:0048704,embryonic skeletal system morphogenesis,1/352,73/14611,0.832146059,0.888380088,0.767662036,Dlg1,1,
GO:0034612,BP,GO:0034612,response to tumor necrosis factor,2/352,133/14611,0.834114951,0.890062883,0.769116163,Stat1/Trim32,2,
GO:0072686,CC,GO:0072686,mitotic spindle,2/352,133/14611,0.834114951,0.890062883,0.769116163,Arhgef7/Tbl1xr1,2,
GO:0002444,BP,GO:0002444,myeloid leukocyte mediated immunity,1/352,74/14611,0.836210207,0.891459459,0.770322965,Ywhaz,1,
GO:0008170,MF,GO:0008170,N-methyltransferase activity,1/352,74/14611,0.836210207,0.891459459,0.770322965,Rnmt,1,
GO:0061014,BP,GO:0061014,positive regulation of mRNA catabolic process,1/352,74/14611,0.836210207,0.891459459,0.770322965,Gigyf2,1,
GO:0098573,CC,GO:0098573,intrinsic component of mitochondrial membrane,1/352,74/14611,0.836210207,0.891459459,0.770322965,Coa3,1,
GO:0005765,CC,GO:0005765,lysosomal membrane,2/352,134/14611,0.837204366,0.891890178,0.770695155,Ifitm3/Lamp1,2,
GO:0050870,BP,GO:0050870,positive regulation of T cell activation,2/352,134/14611,0.837204366,0.891890178,0.770695155,Cd83/Sirpa,2,
GO:0098852,CC,GO:0098852,lytic vacuole membrane,2/352,134/14611,0.837204366,0.891890178,0.770695155,Ifitm3/Lamp1,2,
GO:0031668,BP,GO:0031668,cellular response to extracellular stimulus,3/352,189/14611,0.83750671,0.892002683,0.770792373,Arhgap35/Ercc6/Ldha,3,
GO:0001704,BP,GO:0001704,formation of primary germ layer,1/352,75/14611,0.840176226,0.892818404,0.771497249,Dusp5,1,
GO:0010660,BP,GO:0010660,regulation of muscle cell apoptotic process,1/352,75/14611,0.840176226,0.892818404,0.771497249,Pten,1,
GO:0044774,BP,GO:0044774,mitotic DNA integrity checkpoint signaling,1/352,75/14611,0.840176226,0.892818404,0.771497249,Gigyf2,1,
GO:0050779,BP,GO:0050779,RNA destabilization,1/352,75/14611,0.840176226,0.892818404,0.771497249,Gigyf2,1,
GO:0120162,BP,GO:0120162,positive regulation of cold-induced thermogenesis,1/352,75/14611,0.840176226,0.892818404,0.771497249,Appl2,1,
GO:0000070,BP,GO:0000070,mitotic sister chromatid segregation,2/352,135/14611,0.840241758,0.892818404,0.771497249,Ino80/Smc4,2,
GO:0004386,MF,GO:0004386,helicase activity,2/352,135/14611,0.840241758,0.892818404,0.771497249,Ddx6/Ercc6,2,
GO:0006475,BP,GO:0006475,internal protein amino acid acetylation,2/352,135/14611,0.840241758,0.892818404,0.771497249,App/Mecp2,2,
GO:0018393,BP,GO:0018393,internal peptidyl-lysine acetylation,2/352,135/14611,0.840241758,0.892818404,0.771497249,App/Mecp2,2,
GO:0031227,CC,GO:0031227,intrinsic component of endoplasmic reticulum membrane,2/352,135/14611,0.840241758,0.892818404,0.771497249,Nfe2l1/Saraf,2,
GO:0016570,BP,GO:0016570,histone modification,7/352,394/14611,0.841316137,0.893750554,0.772302733,App/Mecp2/Pagr1a/Prkcb/Tbl1xr1/Trim37/Usp36,7,
GO:0051259,BP,GO:0051259,protein complex oligomerization,3/352,191/14611,0.842670806,0.894979957,0.773365078,App/Appl2/Kcnb2,3,
GO:0050796,BP,GO:0050796,regulation of insulin secretion,2/352,136/14611,0.843227831,0.895361823,0.773695054,Camk2n1/Ppp3cb,2,
GO:0008593,BP,GO:0008593,regulation of Notch signaling pathway,1/352,76/14611,0.844046477,0.895392308,0.773721396,Cntn6,1,
GO:0009408,BP,GO:0009408,response to heat,1/352,76/14611,0.844046477,0.895392308,0.773721396,Dnaja1,1,
GO:0032204,BP,GO:0032204,regulation of telomere maintenance,1/352,76/14611,0.844046477,0.895392308,0.773721396,Smg1,1,
GO:0042147,BP,GO:0042147,"retrograde transport, endosome to Golgi",1/352,76/14611,0.844046477,0.895392308,0.773721396,Rab6a,1,
GO:0060348,BP,GO:0060348,bone development,3/352,192/14611,0.845199308,0.896195898,0.77441579,Ankrd11/Sp5/Trip11,3,
GO:1901681,MF,GO:1901681,sulfur compound binding,3/352,192/14611,0.845199308,0.896195898,0.77441579,App/Rtn4rl1/Ryr2,3,
GO:0001701,BP,GO:0001701,in utero embryonic development,8/352,446/14611,0.84683063,0.897508917,0.775550388,Ankrd11/Bptf/Gna12/Matr3/Meg3/Mtss1/Tbl1xr1/Zbtb18,8,
GO:0004197,MF,GO:0004197,cysteine-type endopeptidase activity,1/352,77/14611,0.847823266,0.897508917,0.775550388,Usp36,1,
GO:0005795,CC,GO:0005795,Golgi stack,1/352,77/14611,0.847823266,0.897508917,0.775550388,Nsf,1,
GO:0008236,MF,GO:0008236,serine-type peptidase activity,1/352,77/14611,0.847823266,0.897508917,0.775550388,Reln,1,
GO:0030317,BP,GO:0030317,flagellated sperm motility,1/352,77/14611,0.847823266,0.897508917,0.775550388,Dnaja1,1,
GO:0030433,BP,GO:0030433,ubiquitin-dependent ERAD pathway,1/352,77/14611,0.847823266,0.897508917,0.775550388,Herpud1,1,
GO:0043525,BP,GO:0043525,positive regulation of neuron apoptotic process,1/352,77/14611,0.847823266,0.897508917,0.775550388,App,1,
GO:0007034,BP,GO:0007034,vacuolar transport,2/352,138/14611,0.84904882,0.898386779,0.776308962,Lamp1/Tsg101,2,
GO:0051100,BP,GO:0051100,negative regulation of binding,2/352,138/14611,0.84904882,0.898386779,0.776308962,Mecp2/Tmbim6,2,
GO:0090287,BP,GO:0090287,regulation of cellular response to growth factor stimulus,4/352,247/14611,0.849882185,0.898682753,0.776564717,Got1/Prkcb/Snx25/Wasf1,4,
GO:0005811,CC,GO:0005811,lipid droplet,1/352,78/14611,0.851508846,0.898682753,0.776564717,BC031181,1,
GO:0006354,BP,GO:0006354,"DNA-templated transcription, elongation",1/352,78/14611,0.851508846,0.898682753,0.776564717,Ercc6,1,
GO:0007029,BP,GO:0007029,endoplasmic reticulum organization,1/352,78/14611,0.851508846,0.898682753,0.776564717,Myo5a,1,
GO:0007229,BP,GO:0007229,integrin-mediated signaling pathway,1/352,78/14611,0.851508846,0.898682753,0.776564717,Arhgap35,1,
GO:0009953,BP,GO:0009953,dorsal/ventral pattern formation,1/352,78/14611,0.851508846,0.898682753,0.776564717,Wnt7a,1,
GO:0030148,BP,GO:0030148,sphingolipid biosynthetic process,1/352,78/14611,0.851508846,0.898682753,0.776564717,St6galnac3,1,
GO:0048477,BP,GO:0048477,oogenesis,1/352,78/14611,0.851508846,0.898682753,0.776564717,Grb14,1,
GO:0090734,CC,GO:0090734,site of DNA damage,1/352,78/14611,0.851508846,0.898682753,0.776564717,Ercc6,1,
GO:1901222,BP,GO:1901222,regulation of NIK/NF-kappaB signaling,1/352,78/14611,0.851508846,0.898682753,0.776564717,App,1,
GO:1990542,BP,GO:1990542,mitochondrial transmembrane transport,1/352,78/14611,0.851508846,0.898682753,0.776564717,Atp5o,1,
GO:0016758,MF,GO:0016758,hexosyltransferase activity,2/352,140/14611,0.854672893,0.901812171,0.779268892,Fut9/Wdfy3,2,
